address,city,country,longitude,name,province_nameChanged
1052 Sagamore Pkwy W,West Lafayette,US,-86.91841,Jimmy John's,IN
363 Swanton Rd,Saint Albans,US,-73.08202,Taco Bell,VT
580 Shelburne Rd Ste 11,Burlington,US,-73.20896,SUBWAY,VT
2201 S Park Ave Ste 5,Alexandria,US,-85.66922,Pizza Hut,IN
25 Berlin St,Montpelier,US,-72.57701,Domino's Pizza,VT
313 2nd St,North Wilkesboro,US,-81.13658,Wendy's,NC
127 North St,Houlton,US,-67.83927,Domino's Pizza,ME
1215 2nd Ave W,Williston,US,-103.6262,Taco John's,ND
7201 Two Notch Rd,Columbia,US,-80.95748,Sarku Japan,SC
875 4th St SW,Mason City,US,-93.21414,Taco Bell,IA
320 11th Street Sw Plz,Spencer,US,-95.15025,Taco Bell,IA
120 E Jefferson St,Washington,US,-91.69085,Taco Bell,IA
6694 Highway 431 S,Owens Cross Roads,US,-86.483357,Taco Bell,AL
2721a Emanuel Church Rd,West Columbia,US,-81.150724,Pizza Hut,SC
837 W Morton Ave,Jacksonville,US,-90.240464,Taco Bell,IL
2013 US Route 20,Seneca Falls,US,-76.8312,Burger King,NY
2211 W Dekalb St,Camden,US,-80.64598,Chick-fil-A,SC
1400 S Higley Blvd,Rawlins,US,-107.22593,Subway,WY
3 Spaulding Ave,Malone,US,-74.28485,Domino's Pizza,NY
80 Clinton Plz,Clinton,US,-88.97722,Taco Bell,IL
776 E Main St,Cobleskill,US,-74.47452,Taco Bell,NY
1134 Paterson St,Ogdensburg,US,-75.4774,McDonald's,NY
201 Maple City Dr,Monmouth,US,-90.64483,Taco Bell,IL
31305 Vine St,Eastlake,US,-81.468481,Burger King,OH
2118 Missouri Blvd,Jefferson City,US,-92.20713,Captain D's,MO
1212 W Main St,Fairfield,US,-88.37697,McDonald's,IL
2333 Missouri Blvd,Jefferson City,US,-92.21398,Jack in the Box,MO
550 E Industrial Park Rd,Murphysboro,US,-89.32524,McDonald's,IL
220 S Main St,Atmore,US,-87.49386,Burger King,AL
1607 S State Route 127,Greenville,US,-89.39077,Taco Bell,IL
51-67 E 161st St,Bronx,US,-73.92529,McDonald's,NY
253 W 42nd St,New York,US,-73.98944,Five Guys,NY
4461 Market Commons Dr,Fairfax,US,-77.376969,Pei Wei,VA
14493 Gideon Dr,Woodbridge,US,-77.297706,Wendy's,VA
2815 Fern Valley Rd,Louisville,US,-85.7112,Arby's,KY
2800 Outer Loop,Louisville,US,-85.71168,McDonald's,KY
6501 Paramount Park Dr,Louisville,US,-85.712124,Taco Bell,KY
713 McCroskey St,Nixa,US,-93.302767,Arby's,MO
3409 W Blue Ridge Dr,Greenville,US,-82.451033,Taco Bell,SC
6103 White Horse Rd,Greenville,US,-82.452875,McDonald's,SC
2219 Madison Street,Clarksville,US,-87.2763,SONIC Drive In,TN
788 Riverside Drive,Clarksville,US,-87.3663,Taco Bell,TN
400 Lovell Rd,Knoxville,US,-84.14246,Wendy's,TN
13433 Leopard St,Corpus Christi,US,-97.629141,Burger King,TX
208 E Highway 90,Dayton,US,-94.886769,Jack in the Box,TX
3305 S Campbell Ave Ste E,Springfield,US,-93.29613,Jimmy John's,MO
1173 Murfreesboro Rd,Nashville,US,-86.7054,McDonald's,TN
2203 E Hubbard St,Mineral Wells,US,-98.0953,Taco Bell,TX
2901 Houston Hwy,Victoria,US,-96.9739,Wendy's,TX
6201 W Colonial Drive,Orlando,US,-81.464927,Krystal,FL
3596 MT Diablo Blvd,Lafayette,US,-122.12335,Baja Fresh,CA
31707 LA Highway 16,Denham Springs,US,-90.956294,Mcdonald's,LA
903 S Springfield Ave,Bolivar,US,-93.40686,McDonald's,MO
1875 S Springfield Ave,Bolivar,US,-93.403066,Taco Bell,MO
1905 Southwest Blvd,Jefferson City,US,-92.19907,Taco Bell,MO
2605 Missouri Blvd,Jefferson City,US,-92.219515,Taco Bell,MO
3407 Missouri Blvd,Jefferson City,US,-92.24298,Chick-fil-A,MO
1911 S Springfield Ave,Bolivar,US,-93.402919,Burger King,MO
5160 Southport Supply Road,Southport,US,-78.0426,Bojangles' Famous Chicken 'n Biscuits,NC
421 N 36th St,Quincy,US,-91.35881,Burger King,IL
501 S 8th St,Rogers,US,-94.12543,Arby's,AR
2000 S Pleasant St,Springdale,US,-94.143617,Wendy's,AR
311 N Gaskill St,Huntsville,US,-93.74247,SUBWAY,AR
401 S Thompson St,Springdale,US,-94.138655,Hardee's,AR
1260 E Robinson Ave,Springdale,US,-94.11799,McDonald's,AR
1300 S Thompson St,Springdale,US,-94.13973,Burger King,AR
1407 Main St,Keokuk,US,-91.39082,McDonald's,IA
1421 Avenue H,Fort Madison,US,-91.32385,Taco Bell,IA
1029 S Range Line Rd,Joplin,US,-94.477436,Taco Bell,MO
18710 S Dixie Hwy,Miami,US,-80.356141,Pollo Tropical,FL
709 N Jefferson St,Saint James,US,-91.61875,Burger King,MO
9601 Jefferson Hwy,New Orleans,US,-90.217056,McDonald's,LA
368 S Gloster St,Tupelo,US,-88.716015,Wendy's,MS
840 W Main St,Tupelo,US,-88.71664,Burger King,MS
207 Highway 15 N,Pontotoc,US,-89.018178,Burger King,MS
1130 Murfreesboro Rd,Franklin,US,-86.833983,Arby's,TN
116 Highway 15 N,Pontotoc,US,-89.01787,Domino's Pizza,MS
1221 S Gloster St,Tupelo,US,-88.7196,Domino's Pizza,MS
11292 Old 63 S,Lucedale,US,-88.4936,Burger King,AL
2395 Pass Rd,Biloxi,US,-88.97576,Burger King,AL
